6_0,g
22_1_undifferentiated,g
folate_food,µg
16_0,g
22_6_n_3_dha,g
22_4,g
fatty_acids_total_polyunsaturated,g
caffeine,mg
20_5_n_3_epa,g
pantothenic_acid,mg
vitamin_d_d2__d3,µg
18_2_n_6_cc,g
lysine,g
energy,kcal
tocopherol_beta,mg
manganese_mn,mg
tocopherol_gamma,mg
ash,g
18_3_n_3_ccc_ala,g
18_2_clas,g
sucrose,g
leucine,g
20_1,g
18_1_t,g
16_1_undifferentiated,g
thiamin,mg
20_4_undifferentiated,g
isoleucine,g
calcium_ca,mg
18_3_n_6_ccc,g
tyrosine,g
18_3i,g
15_1,g
folic_acid,µg
fatty_acids_total_trans_monoenoic,g
24_1_c,g
24_0,g
18_4,g
carotene_alpha,µg
selenium_se,µg
20_3_undifferentiated,g
carbohydrate_by_difference,g
glucose_dextrose,g
sugars_total,g
sodium_na,mg
lycopene,µg
arginine,g
serine,g
tocopherol_delta,mg
18_0,g
14_0,g
aspartic_acid,g
glutamic_acid,g
vitamin_c_total_ascorbic_acid,mg
water,g
carotene_beta,µg
vitamin_d,IU
zinc_zn,mg
10_0,g
lutein__zeaxanthin,µg
14_1,g
folate_total,µg
valine,g
16_1_t,g
4_0,g
vitamin_e_alpha_tocopherol,mg
lactose,g
8_0,g
alanine,g
choline_total,mg
fluoride_f,µg
vitamin_a_rae,µg
20_0,g
22_1_c,g
17_1,g
fatty_acids_total_monounsaturated,g
iron_fe,mg
fatty_acids_total_trans,g
vitamin_e_added,mg
12_0,g
potassium_k,mg
methionine,g
copper_cu,mg
theobromine,mg
vitamin_a_iu,IU
galactose,g
cholesterol,mg
vitamin_k_phylloquinone,µg
22_1_t,g
phenylalanine,g
hydroxyproline,g
retinol,µg
vitamin_b_6,mg
riboflavin,mg
18_1_c,g
phosphorus_p,mg
glycine,g
tryptophan,g
protein,g
cystine,g
histidine,g
vitamin_b_12_added,µg
15_0,g
magnesium_mg,mg
18_1_undifferentiated,g
vitamin_d3_cholecalciferol,µg
22_5_n_3_dpa,g
fiber_total_dietary,g
vitamin_b_12,µg
16_1_c,g
20_2_n_6_cc,g
18_2_t_not_further_defined,g
folate_dfe,µg
niacin,mg
maltose,g
22_0,g
18_2_undifferentiated,g
17_0,g
18_3_undifferentiated,g
proline,g
total_lipid_fat,g
20_3_n_6,g
fatty_acids_total_saturated,g
alcohol_ethyl,g
fructose,g
betaine,mg
threonine,g
cryptoxanthin_beta,µg
