10:0,g
12:0,g
13:0,g
14:0,g
14:1,g
15:0,g
15:1,g
16:0,g
16:1 c,g
16:1 t,g
16:1 undifferentiated,g
17:0,g
17:1,g
18:0,g
18:1 c,g
18:1 t,g
18:1 undifferentiated,g
18:1-11 t (18:1t n-7),g
18:2 CLAs,g
18:2 i,g
18:2 n-6 c,c,g
18:2 t not further defined,g
18:2 t,t,g
18:2 undifferentiated,g
18:3 n-3 c,c,c (ALA),g
18:3 n-6 c,c,c,g
18:3 undifferentiated,g
18:3i,g
18:4,g
20:0,g
20:1,g
20:2 n-6 c,c,g
20:3 n-3,g
20:3 n-6,g
20:3 undifferentiated,g
20:4 n-6,g
20:4 undifferentiated,g
20:5 n-3 (EPA),g
21:5,g
22:0,g
22:1 c,g
22:1 t,g
22:1 undifferentiated,g
22:4,g
22:5 n-3 (DPA),g
22:6 n-3 (DHA),g
24:0,g
24:1 c,g
4:0,g
6:0,g
8:0,g
Adjusted Protein,g
Alanine,g
Alcohol, ethyl,g
Arginine,g
Ash,g
Aspartic acid,g
Beta-sitosterol,mg
Betaine,mg
Caffeine,mg
Calcium, Ca,mg
Campesterol,mg
Carbohydrate, by difference,g
Carotene, alpha,µg
Carotene, beta,µg
Cholesterol,mg
Choline, total,mg
Copper, Cu,mg
Cryptoxanthin, beta,µg
Cystine,g
Dihydrophylloquinone,µg
Energy,kcal
Energy,kJ
Fatty acids, total monounsaturated,g
Fatty acids, total polyunsaturated,g
Fatty acids, total saturated,g
Fatty acids, total trans,g
Fatty acids, total trans-monoenoic,g
Fatty acids, total trans-polyenoic,g
Fiber, total dietary,g
Fluoride, F,µg
Folate, DFE,µg
Folate, food,µg
Folate, total,µg
Folic acid,µg
Fructose,g
Galactose,g
Glucose (dextrose),g
Glutamic acid,g
Glycine,g
Histidine,g
Hydroxyproline,g
Iron, Fe,mg
Isoleucine,g
Lactose,g
Leucine,g
Lutein + zeaxanthin,µg
Lycopene,µg
Lysine,g
Magnesium, Mg,mg
Maltose,g
Manganese, Mn,mg
Menaquinone-4,µg
Methionine,g
Niacin,mg
Pantothenic acid,mg
Phenylalanine,g
Phosphorus, P,mg
Phytosterols,mg
Potassium, K,mg
Proline,g
Protein,g
Retinol,µg
Riboflavin,mg
Selenium, Se,µg
Serine,g
Sodium, Na,mg
Starch,g
Stigmasterol,mg
Sucrose,g
Sugars, total,g
Theobromine,mg
Thiamin,mg
Threonine,g
Tocopherol, beta,mg
Tocopherol, delta,mg
Tocopherol, gamma,mg
Tocotrienol, alpha,mg
Tocotrienol, beta,mg
Tocotrienol, delta,mg
Tocotrienol, gamma,mg
Total lipid (fat),g
Tryptophan,g
Tyrosine,g
Valine,g
Vitamin A, IU,IU
Vitamin A, RAE,µg
Vitamin B-12,µg
Vitamin B-12, added,µg
Vitamin B-6,mg
Vitamin C, total ascorbic acid,mg
Vitamin D,IU
Vitamin D (D2 + D3),µg
Vitamin D2 (ergocalciferol),µg
Vitamin D3 (cholecalciferol),µg
Vitamin E (alpha-tocopherol),mg
Vitamin E, added,mg
Vitamin K (phylloquinone),µg
Water,g
Zinc, Zn,mg
